attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,Label
1,96,8032,23136,15201,79780,6586,11225,2489,1972,E
1,48,406480,16771973,25448,2624,7810,3466,6476,2945,E
11,54,198193,30121,8226,17450,1944,4103,5125,586,E
14,51,198763,16764585,9866,1490,2721,4159,1090,231,E
26,80,259500,16891,242,16744517,13032,10458,2169,879,E
30,51,2751,24931,4523,31488,7306,6934,1682,1323,E
27,69,6762,12436,6537,8753,13392,6521,1191,5634,E
41,78,4953,18198,16749852,16771569,6894,5992,1749,903,E
1,47,4012,16769035,8091,10420,14047,9742,3060,2128,E
4,60,96204,16750667,30322,11994,8730,7043,2849,914,E
13,75,34754,16768315,20791,9552,15516,9801,2700,1191,E
61,70,10984,16766147,87501,28857,28595,18747,9705,4735,E
66,64,1268051,404776,16763036,11718,9199,24226,21556,6917,E
27,17,37991,50366,6678,4399,11745,7310,9938,3858,E
87,61,95785,16754546,16555,6235,12829,25285,10567,5967,E
67,78,8824,3496,16751023,2417,9636,23234,10766,2522,E
63,69,122370,16770129,2239,6621,4065,8482,8915,874,E
17,48,566841,280853,17494,16776605,10374,25933,23223,10059,E
75,54,16424,16748793,10645,21156,21355,16746698,15859,7794,E
43,78,54061,16767249,21539,16746860,11944,14868,11623,3269,E
70,75,412481,96275,12014,17019,15165,16094,15236,2403,E
41,96,294480,16774371,16769508,23919,13008,15711,12228,8128,E
61,80,419731,66125,11323,8730,7692,17319,6474,2427,E
13,16,725350,364968,144412,16763861,21824,16746414,27472,9361,E
35,41,817242,537932,16776635,163531,92551,16771288,66851,16764720,E
37,83,596734,181166,120671,152237,73495,16752342,16764522,17816,E
61,63,1685820,50197,91781,84050,22589,16753712,32761,11860,E
38,60,1673395,645079,100545,16749105,160831,33842,16773689,16751451,E
24,47,1548640,508304,147169,16767100,71603,150553,76291,16751103,E
77,81,181597,16750840,16752587,16762038,10003,22392,22689,9679,E
51,54,497069,273795,71070,16763452,16770957,79407,66328,7830,E
41,44,1127485,16764307,16758116,31788,13124,16750258,22401,4631,E
61,53,817459,337860,67096,102474,89084,37730,16751744,16760122,E
69,84,2688454,813806,212113,218237,194768,172271,16774131,7324,E
35,57,442394,74771,21461,13566,5598,2449,3301,416,E
77,57,632077,58716,26047,27905,10369,15979,24508,2234,E
37,44,682300,423237,10912,18321,21299,16745818,16758552,4996,E
63,70,1983418,220308,29220,19605,12245,20016,16749861,2402,E
77,54,756408,16766471,5375,29490,16752851,16755568,32591,6850,E
97,84,16753444,22759,9070,23051,25203,16753895,22669,2078,E
66,54,2611194,206605,10426,73743,93987,16758964,26574,4791,E
90,50,163229,16766290,8974,26318,20955,12660,22827,2455,E
70,64,139297,61889,70978,28104,26657,16745547,21003,9081,E
80,56,551058,140515,16165,20344,23452,16758383,16756860,11183,E
78,80,22534,16750996,7773,5052,8346,7514,6762,5292,E
75,78,22303,20984,7423,3571,9197,7956,4735,1349,E
78,83,403406,16750712,8412,14172,18098,7172,5120,7667,E
83,96,13418,30953,23317,11156,26788,11039,3124,3215,E
70,94,538434,24478,5046,26199,10596,12568,8970,883,E
84,94,23761,21462,16749944,12324,16747406,8520,9792,4289,E
64,87,11037,13817,2673,18219,3720,6566,2664,1749,E
64,77,850726,37248,19166,16750221,15391,24755,21261,4234,E
56,50,510230,95517,4281,19432,19953,14325,7826,2994,E
54,100,16764019,32482,16771119,24539,9033,17421,3504,1655,E
63,67,55374,15627,2297,5201,6518,2548,3272,1867,E
91,21,144951,144014,15945,16665,12240,16745308,13169,8345,E
100,30,265898,17938,8689,7211,13106,6535,2248,2619,E
21,23,1977154,802284,221616,105218,24185,30064,20663,14221,E
83,1,544113,161682,9970,11755,8503,18338,18658,6432,E
91,38,317541,78436,19574,14106,30527,28114,15672,8924,E
74,1,1800535,66564,3840,6980,7169,6584,6606,1504,E
100,44,945551,197422,11148,16748849,16760388,16760987,30407,6730,E
100,64,16745879,16755474,16749837,21105,22355,16750575,13156,7934,E
84,53,86912,16748625,8033,16757083,16750411,8530,10384,1811,E
100,60,1090651,95708,16764379,15450,69997,16750202,19957,25701,E
77,29,693559,16759106,1891,6345,13851,10027,16357,1752,E
87,54,26732,27723,4958,10657,3942,5153,2643,1397,E
91,66,16744448,11556,1698,3158,8058,4173,3471,1029,E
91,27,25334,19663,3273,5549,6562,4871,5114,2931,E
84,77,15953,2603,3824,9652,4906,3319,2663,1767,E
38,53,25444,26773,5087,14711,7406,4570,3140,1536,E
57,66,22358,17540,6879,1864,4738,5236,1421,692,E
69,75,1568,6343,1483,11072,1865,3840,1950,1708,E
74,43,20148,16761258,12303,14698,8755,5049,3903,1560,E
66,53,9440,9307,4757,6159,6334,2567,1898,2639,E
63,80,28013,16758624,16769390,6432,2506,4079,2181,1454,E
87,78,16512,8667,5282,3318,1757,4156,1521,864,E
50,69,28759,90952,7813,11689,6070,10177,1923,2340,E
7,91,701085,61362,16775896,7550,16747523,14470,7833,9935,E
40,51,7513,5049,5361,2048,6230,1710,1156,684,E
63,50,5251,18861,7524,7735,4413,2778,4557,715,E
53,41,16763376,21575,2880,3627,3671,3580,1912,921,E
84,70,20182,4753,3281,22710,5619,5203,8551,4977,E
40,70,418253,80959,16756351,21245,8644,7940,6524,4489,E
64,47,16744709,10555,3959,6813,1462,4538,1899,1436,E
54,40,63759,16751105,10794,11540,14010,13036,4213,3752,E
81,44,1680,17614,12820,681,4160,4478,1660,1051,E
41,61,898404,207319,28999,25486,5250,6654,2908,1945,E
77,51,5263,10820,3527,3571,4380,2867,2224,1370,E
43,67,10685,3683,8924,4101,4053,3863,4308,1489,E
64,64,3285,7642,1325,3848,2911,3883,1618,1604,E
80,60,3737,2515,259,8230,3998,6835,1307,1652,E
30,20,7438,8956,1438,8834,6461,2765,8365,2892,E
77,37,6353,28807,6918,15834,3224,11303,12797,4060,E
75,60,4381,4570,924,9757,2505,6936,6566,1945,E
60,50,12828,10920,5751,4828,2956,4256,5993,693,E
51,60,11251,19169,14529,9484,12832,5856,4695,4889,E
