attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,Label
43,48,364652,27775,10355,3099,2467,6876,3686,4935,J
69,47,154374,87910,29823,2940,19835,11172,3699,4325,J
57,54,1873139,143560,26552,81571,27706,16758448,30755,8022,J
50,54,300321,16077,31781,23916,13087,25547,13192,9918,J
50,54,733950,27537,5816,3238,2256,1165,392,303,J
75,29,16758637,14145,900,4684,3972,5575,8262,1267,J
69,40,181408,16765811,13788,14111,4747,3938,624,140,J
61,43,1818732,3459,7814,2607,5869,6040,834,569,J
38,26,312687,10467,2267,2534,985,770,361,16777202,J
34,40,628632,26030,3580,294,4795,842,257,338,J
29,34,16774418,3327,478,329,860,1377,942,263,J
57,35,1782223,312633,16776829,93763,89450,85775,16758470,8124,P
66,53,169437,220800,16744706,25064,16762466,18252,10753,4485,P
57,35,16771002,13591,2081,1101,3403,1121,2072,450,P
84,34,16764633,18655,7969,2558,7674,17114,6636,2965,P
100,51,14443,6027,8215,3814,3990,7802,4638,2974,P
97,69,67476,13113,10539,1865,2754,16375,6675,3673,P
100,66,9115,10960,10289,12243,5841,17765,9584,3609,P
100,56,88482,10144,14309,14987,14411,18075,3881,5350,P
66,53,635854,16758686,16749633,10093,28716,11600,9225,4564,P
74,61,251822,23155,20627,12696,19786,19298,5885,3013,P
69,43,69996,16765601,19521,11493,11383,10737,12692,2118,P
