Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Class
1.3969599,0.74857324,0.6246636,0.8834057,1.2497079,0.5868852,0.53344184,0.4852109,1.101655,0.5409794,0.39687824,0.7715215,0.7668454,0.21018402,0.4263172,0.57267725,0.16037318,-0.45010695,0.2707132,0.6053973,S
1.7546839,0.83810776,0.74836344,0.8834057,1.5671864,0.6596291,0.65633315,0.4852109,1.0123588,0.539647,0.3521666,0.7715215,0.76122135,0.2360347,0.46542165,0.57267725,0.3064986,-0.42493585,0.3448664,0.6053973,S
1.3401781,0.83810776,0.74836344,0.8834057,0.8277291,0.6596291,0.65633315,0.4852109,0.98857623,0.539647,0.3521666,0.7715215,0.9320858,0.2360347,0.46542165,0.57267725,0.09952057,-0.42493585,0.3448664,0.6053973,S
1.4257275,0.83810776,0.74836344,0.8834057,0.8719543,0.6596291,0.65633315,0.4852109,0.9817183,0.539647,0.3521666,0.7715215,0.95327646,0.2360347,0.46542165,0.57267725,0.108383074,-0.42493585,0.3448664,0.6053973,S
0.6183182,0.9920352,0.8167303,0.8834057,0.48211098,0.8859872,0.6730193,0.4852109,0.38316843,0.8083092,0.77007556,0.7715215,0.5601543,0.4410897,0.69904155,0.57267725,0.35744435,-0.005887195,0.2594574,0.6053973,S
0.5074321,1.1136024,0.9003502,0.8834057,-0.09140499,0.77815825,0.6792997,0.4852109,0.15932034,0.7035872,0.56565076,0.7715215,0.5441456,0.4584475,0.5786901,0.57267725,0.30454054,-0.05325072,0.37047246,0.6053973,S
0.5074321,0.9800158,0.98480386,0.8834057,-0.09140499,0.65646034,0.5894749,0.4852109,0.15932034,0.6148263,0.57097775,0.7715215,0.5441456,0.5459788,0.645796,0.57267725,0.30454054,-0.02820785,0.23444018,0.6053973,S
-0.18110973,0.29451856,0.43776393,0.8834057,0.114826635,0.18736956,0.19262612,0.4852109,0.7372533,0.52895796,0.33799046,0.7715215,0.7213126,0.29725,0.54646593,0.57267725,0.23047961,0.07490824,0.26961726,0.6053973,S
0.40697202,-0.01495748,0.4119999,0.8834057,0.19655497,-0.22809352,-0.05167388,0.4852109,0.80767345,0.15026926,0.11392718,0.7715215,0.7571761,0.32780486,0.5042209,0.57267725,-0.03222053,-0.029036518,0.1284455,0.6053973,S
0.4593774,0.6578408,0.45976198,0.8834057,0.28015944,0.040730633,-0.11623914,0.4852109,0.80800307,0.19750273,0.29117993,0.7715215,0.69814765,0.38202545,0.42360494,0.57267725,0.06094275,-0.016359564,-0.006628283,0.6053973,S
