attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,Label
40,17,630891,84363,6305,23056,23625,7635,3735,3386,S
51,41,6093,7736,3073,2926,3468,3557,660,1831,S
51,57,23354,17872,16018,3052,2005,6140,1514,2281,S
43,67,65294,16746754,16754596,78748,16774126,16762944,15262,8549,S
53,63,7912,5976,9646,5088,9177,6063,2609,872,S
43,48,8110,12662,16016,6600,3096,7757,1783,2505,S
23,48,6892,11425,15050,5763,1891,5393,2746,2520,S
50,64,21207,3729,7062,5613,3584,2672,2241,666,S
27,57,26832,16764837,10124,25116,12974,15686,4791,2285,S
21,69,14976,15993,18549,1933,6384,2768,6958,3069,S
43,41,351861,293706,16765556,15912,12726,11629,3531,927,S
30,50,24723,8089,4704,11997,5897,6905,1820,1387,N
41,81,5572,7263,12593,30742,4045,4740,2247,1106,N
50,60,12171,5417,5734,4697,2170,3449,1596,2059,N
35,37,228690,74153,16753818,15438,16745673,14979,9496,4926,N
20,43,8898,9697,26299,27778,3393,4014,2251,1207,N
38,50,11356,16744708,20320,13910,5464,6982,1303,773,N
37,48,10162,6926,1687,4498,2932,2888,1589,1597,N
51,67,7622,11342,5560,4407,2216,7711,2281,1227,N
47,40,8688,9127,10191,2307,4193,10255,2381,2058,N
34,60,7197,22038,16749057,84733,3439,11163,1780,1908,N
29,43,582502,93540,6850,7542,3759,2515,1264,630,N
100,44,16770627,16751445,11419,3640,4467,11167,4572,3112,N
100,84,23138,18984,6942,4950,9096,5755,3750,1896,N
97,64,12833,7732,1397,2628,3774,8763,4134,3440,N
84,53,16773956,21477,4221,10051,7358,11275,7171,5405,N
94,63,224703,46205,3756,27921,18107,27204,16089,4321,N
75,54,4788,6793,1803,4792,2483,6129,3797,3409,N
100,54,4771,14166,3290,3039,4975,9768,5521,2947,N
91,80,16757708,18473,9694,10358,8057,9038,5662,2193,N
81,87,20556,29247,8703,1365,5378,9204,2602,3138,N
87,91,16418,9349,3088,4591,5893,2795,9452,1554,N
77,63,16758857,16762713,29039,2628,12882,9235,3757,4345,N
