attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,Label
29,50,1298755,51844,229533,78395,16766526,34851,16752182,27518,T
43,35,649212,260030,29699,16753642,32300,22133,22176,6606,T
57,27,1507215,71705,26612,4031,16744368,31522,20138,4346,T
38,47,112974,94893,71855,16748409,12991,16754753,30128,6589,T
40,60,629647,67891,9177,16750976,5161,15402,6392,1448,T
35,40,325513,41757,94439,16769558,24981,16757158,29650,10678,T
47,41,1683614,160178,64193,16761331,7675,16762555,16746816,16368,T
41,50,13661,28251,16756345,67944,11554,26412,24107,8894,T
27,48,244314,55534,18380,3738,7808,23909,32338,7944,T
29,41,1410562,269169,16772220,16747433,16758080,17751,16768724,13975,T
53,38,762403,34350,16747725,9569,16759243,20741,9084,18542,T
20,27,627171,70444,10292,9716,2619,7208,10160,3962,T
24,23,1159283,37413,16785,3141,12797,7564,9226,3905,T
17,30,250085,266789,8145,13614,13509,15024,23605,6035,T
1,35,511355,112683,16767030,7711,19012,11676,8169,2522,T
41,51,1428606,16751248,28201,11045,6196,9738,4444,2580,T
29,21,1073641,16769240,6336,26679,16753751,21591,16754275,6903,T
69,57,132920,127763,16771995,16754698,9756,16759835,11193,3279,T
48,64,8525,10526,4298,16761660,15746,17399,9429,6595,T
44,100,334313,20032,18156,16744719,6789,14432,11772,2445,T
61,54,806567,40670,16752582,11203,19851,29130,12997,3390,T
27,20,49086,60269,30777,14259,21917,19462,9965,4306,T
78,20,706513,67912,15531,13179,16374,19275,19313,10043,T
74,35,1345076,352031,16762753,12535,26780,38925,50513,14844,T
66,1,1970255,56430,6526,12621,4651,21333,19289,3192,T
63,17,987604,94575,2928,7803,14842,16751729,26953,5256,T
69,23,652323,351060,59191,61105,16758731,149356,71919,20643,T
35,26,39718,23390,966,652,473,1308,1254,245,T
60,26,476161,16744473,14656,8365,6484,2089,664,377,T
83,57,64104,16752855,23183,3867,15351,27107,16866,31299,T
77,29,348472,19395,4668,8750,7342,10419,11258,2825,T
100,41,120982,12207,3371,5413,2035,11601,16758662,8146,T
87,47,181977,12375,6727,2103,3547,6157,4000,194,T
66,64,630745,21649,8661,3558,2233,1885,499,635,F
69,47,3070914,524729,80956,42050,92607,58810,16776926,19808,F
69,56,356723,71575,4325,11007,12529,9053,11519,2852,F
50,37,203409,16772092,24096,11242,10075,10332,15521,1307,F
78,61,1648975,88259,25645,16763807,16756373,80785,75484,17820,F
100,54,91426,213666,16761727,16751774,32938,16774036,22867,7250,F
100,53,23811,27294,11635,21714,9332,17226,19393,5060,F
87,13,610899,69676,2459,4468,4814,8790,1818,2125,F
70,43,865655,16772650,1748,1211,10311,13971,7599,2581,F
96,60,127165,16757134,3095,6050,17917,16497,7716,8928,F
61,70,16201,19118,5556,19567,6851,28647,13173,4804,F
50,27,1647920,44465,16746241,12462,16747044,20420,26319,6178,T
63,60,878840,885868,278885,16773220,16771251,16752182,29393,25228,T
47,81,838762,814885,116201,22781,16763639,30507,73377,12479,T
64,41,963544,198313,13162,97329,11164,16749105,16715,11818,T
41,50,882332,124787,72098,265043,162991,30550,150332,16764168,T
88,43,1998043,1774319,16744975,106351,67982,54615,63064,16763164,T
47,75,1510498,179795,86627,16748482,16767714,20483,27386,4377,T
43,51,531967,170755,16747939,135678,16760169,26848,16756140,21450,T
43,70,1493252,123176,69351,16747,19013,28351,17339,4765,F
43,70,1493252,123176,69351,16747,19013,28351,17339,4765,F
48,64,220805,16776739,5270,29030,19555,8414,6164,747,F
38,81,398872,288046,19462,36498,95737,24218,32023,9819,F
38,81,398872,288046,19462,36498,95737,24218,32023,9819,F
37,70,1461661,380990,92239,23932,16750644,14400,19293,9601,F
61,66,73789,16759374,31013,16753020,13425,13541,1903,646,T
40,43,1265924,285631,66299,16748734,11980,15957,1974,3280,T
63,70,10350,3715,16052,9590,6522,4009,1013,2126,T
57,80,12057,11393,12172,7340,4467,4560,6247,880,T
30,93,16379,9647,13067,27034,3863,1679,2508,1122,T
57,81,10640,12185,12380,25808,2524,7706,490,941,T
50,56,14426,17028,3186,12054,4825,10068,4176,2855,T
60,57,9751,7664,7875,5874,4981,6351,6795,1025,T
53,40,3299,3858,5937,713,1455,3619,2113,1115,T
57,37,17548,5082,9065,7269,9522,2725,2270,2633,T
69,48,10155,9886,10488,14673,8090,7687,1773,5152,T
51,43,23678,1783,9925,12355,4316,7555,6216,3135,F
37,30,16773147,10581,1875,4012,2211,1453,436,840,F
