attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,Label
1,96,8032,23136,15201,79780,6586,11225,2489,1972,E
1,48,406480,16771973,25448,2624,7810,3466,6476,2945,E
11,54,198193,30121,8226,17450,1944,4103,5125,586,E
14,51,198763,16764585,9866,1490,2721,4159,1090,231,E
26,80,259500,16891,242,16744517,13032,10458,2169,879,E
30,51,2751,24931,4523,31488,7306,6934,1682,1323,E
27,69,6762,12436,6537,8753,13392,6521,1191,5634,E
41,78,4953,18198,16749852,16771569,6894,5992,1749,903,E
1,47,4012,16769035,8091,10420,14047,9742,3060,2128,E
4,60,96204,16750667,30322,11994,8730,7043,2849,914,E
13,75,34754,16768315,20791,9552,15516,9801,2700,1191,E
