attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,Label
30,69,607516,228821,80159,16149,4221,15871,7408,1861,Discard
43,84,113383,94436,93741,23290,26832,6413,4134,2341,Discard
37,75,699653,26705,7112,16570,11449,5502,1827,439,Discard
43,87,69708,16750674,22448,9349,6323,8239,2259,2245,Discard
69,100,16764055,16745771,28460,18384,12438,6631,6524,4030,Discard
81,100,7778,6490,5357,9099,6917,11347,7958,2160,Discard
53,100,6867,11221,18418,5805,10209,5590,5726,1221,Discard
94,81,4546,20143,9030,10151,6053,12510,7449,2727,Discard
81,75,13083,6219,11284,14075,5284,6883,3701,2135,Discard
84,77,12257,12182,3402,4564,7757,6311,3203,1047,Discard
69,80,5006,16745909,7179,16162,13979,6017,2531,1011,Discard
