timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583146969100,0,12,2.63671875E-6,61,70,40,10984,16766147,87501,28857,28595,18747,9705,4735,Tag0,unknown
1583146974101,0,36,7.91015625E-6,66,64,40,1268051,404776,16763036,11718,9199,24226,21556,6917,Tag0,unknown
1583146979115,0,-338,-7.426757812499999E-5,27,17,41,37991,50366,6678,4399,11745,7310,9938,3858,Tag0,unknown
1583146984130,0,24,5.2734375E-6,87,61,41,95785,16754546,16555,6235,12829,25285,10567,5967,Tag0,unknown
1583146989130,0,-267,-5.86669921875E-5,67,78,41,8824,3496,16751023,2417,9636,23234,10766,2522,Tag0,unknown
1583146994137,0,68,1.4941406250000001E-5,63,69,41,122370,16770129,2239,6621,4065,8482,8915,874,Tag0,unknown
1583146999137,0,-298,-6.5478515625E-5,17,48,53,566841,280853,17494,16776605,10374,25933,23223,10059,Tag0,unknown
1583147004194,0,70,1.5380859375E-5,75,54,39,16424,16748793,10645,21156,21355,16746698,15859,7794,Tag0,unknown
1583147009198,0,-259,-5.69091796875E-5,43,78,39,54061,16767249,21539,16746860,11944,14868,11623,3269,Tag0,unknown
1583147014205,0,60,1.318359375E-5,70,75,39,412481,96275,12014,17019,15165,16094,15236,2403,Tag0,unknown
1583147019216,0,10,2.197265625E-6,41,96,39,294480,16774371,16769508,23919,13008,15711,12228,8128,Tag0,unknown
