timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583148186808,0,-330,-7.2509765625E-5,61,80,36,419731,66125,11323,8730,7692,17319,6474,2427,Tag0,unknown
1583148191823,0,1,2.197265625E-7,13,16,39,725350,364968,144412,16763861,21824,16746414,27472,9361,Tag0,unknown
1583148196824,0,-156,-3.427734375E-5,35,41,42,817242,537932,16776635,163531,92551,16771288,66851,16764720,Tag0,unknown
1583148201825,0,26,5.712890625E-6,37,83,54,596734,181166,120671,152237,73495,16752342,16764522,17816,Tag0,unknown
1583148206825,0,50,1.0986328125E-5,61,63,42,1685820,50197,91781,84050,22589,16753712,32761,11860,Tag0,unknown
1583148211842,0,-295,-6.48193359375E-5,38,60,41,1673395,645079,100545,16749105,160831,33842,16773689,16751451,Tag0,unknown
1583148216854,0,-269,-5.9106445312499996E-5,24,47,61,1548640,508304,147169,16767100,71603,150553,76291,16751103,Tag0,unknown
1583148221858,0,-279,-6.13037109375E-5,77,81,56,181597,16750840,16752587,16762038,10003,22392,22689,9679,Tag0,unknown
1583148226858,0,-112,-2.4609375E-5,51,54,45,497069,273795,71070,16763452,16770957,79407,66328,7830,Tag0,unknown
1583148231872,0,-617,-1.355712890625E-4,41,44,44,1127485,16764307,16758116,31788,13124,16750258,22401,4631,Tag0,unknown
1583148236878,0,2,4.39453125E-7,61,53,44,817459,337860,67096,102474,89084,37730,16751744,16760122,Tag0,unknown
