timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583149842030,0,13,2.8564453125E-6,29,50,39,1298755,51844,229533,78395,16766526,34851,16752182,27518,Tag0,unknown
1583149847030,0,81,1.77978515625E-5,43,35,41,649212,260030,29699,16753642,32300,22133,22176,6606,Tag0,unknown
1583149852040,0,18,3.955078125E-6,57,27,41,1507215,71705,26612,4031,16744368,31522,20138,4346,Tag0,unknown
1583149857048,0,-323,-7.09716796875E-5,38,47,40,112974,94893,71855,16748409,12991,16754753,30128,6589,Tag0,unknown
1583149862056,0,-286,-6.2841796875E-5,40,60,52,629647,67891,9177,16750976,5161,15402,6392,1448,Tag0,unknown
1583149867056,0,12,2.63671875E-6,35,40,59,325513,41757,94439,16769558,24981,16757158,29650,10678,Tag0,unknown
1583149872061,0,42,9.228515625000002E-6,47,41,59,1683614,160178,64193,16761331,7675,16762555,16746816,16368,Tag0,unknown
1583149877076,0,32,7.03125E-6,41,50,40,13661,28251,16756345,67944,11554,26412,24107,8894,Tag0,unknown
1583149882076,0,-92,-2.021484375E-5,27,48,39,244314,55534,18380,3738,7808,23909,32338,7944,Tag0,unknown
1583149887076,0,86,1.8896484375000003E-5,29,41,39,1410562,269169,16772220,16747433,16758080,17751,16768724,13975,Tag0,unknown
1583149892089,0,105,2.30712890625E-5,53,38,37,762403,34350,16747725,9569,16759243,20741,9084,18542,Tag0,unknown
