timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583150053306,0,49,1.07666015625E-5,20,27,41,627171,70444,10292,9716,2619,7208,10160,3962,Tag0,unknown
1583150058308,0,55,1.20849609375E-5,24,23,62,1159283,37413,16785,3141,12797,7564,9226,3905,Tag0,unknown
1583150063308,0,12,2.63671875E-6,17,30,40,250085,266789,8145,13614,13509,15024,23605,6035,Tag0,unknown
1583150068311,0,100,2.197265625E-5,1,35,43,511355,112683,16767030,7711,19012,11676,8169,2522,Tag0,unknown
1583150073323,0,71,1.56005859375E-5,41,51,40,1428606,16751248,28201,11045,6196,9738,4444,2580,Tag0,unknown
1583150078330,0,36,7.91015625E-6,29,21,43,1073641,16769240,6336,26679,16753751,21591,16754275,6903,Tag0,unknown
1583150083332,0,-298,-6.5478515625E-5,69,57,76,132920,127763,16771995,16754698,9756,16759835,11193,3279,Tag0,unknown
1583150088332,0,69,1.51611328125E-5,48,64,54,8525,10526,4298,16761660,15746,17399,9429,6595,Tag0,unknown
1583150093337,0,25,5.4931640625E-6,44,100,35,334313,20032,18156,16744719,6789,14432,11772,2445,Tag0,unknown
1583150098340,0,81,1.77978515625E-5,61,54,59,806567,40670,16752582,11203,19851,29130,12997,3390,Tag0,unknown
1583150103356,0,60,1.318359375E-5,27,20,59,49086,60269,30777,14259,21917,19462,9965,4306,Tag0,unknown
