timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583147604592,26,-948,-2.0830078125000002E-4,69,84,108,2688454,813806,212113,218237,194768,172271,16774131,7324,Tag0,unknown
1583147609592,0,27,5.9326171875000005E-6,35,57,39,442394,74771,21461,13566,5598,2449,3301,416,Tag0,unknown
1583147614604,0,3,6.591796875E-7,77,57,46,632077,58716,26047,27905,10369,15979,24508,2234,Tag0,unknown
1583147619618,0,20,4.39453125E-6,37,44,57,682300,423237,10912,18321,21299,16745818,16758552,4996,Tag0,unknown
1583147624618,0,-371,-8.151855468750001E-5,63,70,40,1983418,220308,29220,19605,12245,20016,16749861,2402,Tag0,unknown
1583147629640,0,8,1.7578125E-6,77,54,56,756408,16766471,5375,29490,16752851,16755568,32591,6850,Tag0,unknown
1583147634655,0,60,1.318359375E-5,97,84,56,16753444,22759,9070,23051,25203,16753895,22669,2078,Tag0,unknown
1583147639663,0,113,2.48291015625E-5,66,54,45,2611194,206605,10426,73743,93987,16758964,26574,4791,Tag0,unknown
1583147644673,0,51,1.1206054687499999E-5,90,50,45,163229,16766290,8974,26318,20955,12660,22827,2455,Tag0,unknown
1583147649673,0,12,2.63671875E-6,70,64,45,139297,61889,70978,28104,26657,16745547,21003,9081,Tag0,unknown
1583147654684,0,41,9.008789062499999E-6,80,56,40,551058,140515,16165,20344,23452,16758383,16756860,11183,Tag0,unknown
