timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583147837564,0,71,1.56005859375E-5,56,60,58,610475,423819,133497,16771551,16764990,48103,16764747,4874,Tag0,unknown
1583147842590,0,56,1.23046875E-5,69,75,39,1513457,54245,16766115,82565,16758116,16748965,16756181,26192,Tag0,unknown
1583147847590,0,89,1.95556640625E-5,50,81,55,16756416,3741,2682,1314,928,423,1454,1078,Tag0,unknown
1583147852593,0,21,4.614257812500001E-6,54,56,39,683599,153664,9168,16768757,27231,16748698,17254,18554,Tag0,unknown
1583147857600,0,-125,-2.74658203125E-5,51,83,41,764415,75251,5832,66509,9481,31631,75773,6463,Tag0,unknown
1583147862622,0,122,2.6806640625E-5,80,70,43,66538,67818,15289,16744776,7288,23800,8489,3484,Tag0,unknown
1583147867627,0,70,1.5380859375E-5,44,69,39,84144,16359,2012,12808,2793,3409,6221,549,Tag0,unknown
1583147872628,0,104,2.28515625E-5,40,64,44,1944476,498805,86165,82102,23230,148941,93145,16750060,Tag0,unknown
1583147877630,0,-164,-3.6035156249999995E-5,75,53,39,925823,35162,15864,16747053,9233,16750852,12450,2438,Tag0,unknown
1583147882639,0,34,7.4707031250000005E-6,40,44,44,1224614,551365,16770612,113933,69580,99735,48940,13057,Tag0,unknown
1583147887639,0,-265,-5.82275390625E-5,51,64,40,619938,68510,2613,3667,2895,12829,3779,235,Tag0,unknown
