timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583150621478,25,26,5.712890625E-6,66,64,73,630745,21649,8661,3558,2233,1885,499,635,Tag0,unknown
1583150626502,0,-291,-6.39404296875E-5,69,47,126,3070914,524729,80956,42050,92607,58810,16776926,19808,Tag0,unknown
1583150631509,0,-30,-6.591796875E-6,69,56,126,356723,71575,4325,11007,12529,9053,11519,2852,Tag0,unknown
1583150636510,0,43,9.448242187500001E-6,50,37,40,203409,16772092,24096,11242,10075,10332,15521,1307,Tag0,unknown
1583150641510,0,1,2.197265625E-7,78,61,36,1648975,88259,25645,16763807,16756373,80785,75484,17820,Tag0,unknown
1583150646512,0,28,6.15234375E-6,100,54,36,91426,213666,16761727,16751774,32938,16774036,22867,7250,Tag0,unknown
1583150651535,0,19,4.1748046875E-6,100,53,36,23811,27294,11635,21714,9332,17226,19393,5060,Tag0,unknown
1583150656545,0,-350,-7.6904296875E-5,87,13,36,610899,69676,2459,4468,4814,8790,1818,2125,Tag0,unknown
1583150661547,0,-305,-6.70166015625E-5,70,43,46,865655,16772650,1748,1211,10311,13971,7599,2581,Tag0,unknown
1583150666555,0,16,3.515625E-6,96,60,46,127165,16757134,3095,6050,17917,16497,7716,8928,Tag0,unknown
1583150671555,0,34,7.4707031250000005E-6,61,70,39,16201,19118,5556,19567,6851,28647,13173,4804,Tag0,unknown
