timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583147299505,0,20,4.39453125E-6,78,80,37,22534,16750996,7773,5052,8346,7514,6762,5292,Tag0,unknown
1583147304510,0,82,1.8017578124999998E-5,75,78,37,22303,20984,7423,3571,9197,7956,4735,1349,Tag0,unknown
1583147309510,0,40,8.7890625E-6,78,83,37,403406,16750712,8412,14172,18098,7172,5120,7667,Tag0,unknown
1583147314524,0,54,1.1865234375000001E-5,83,96,37,13418,30953,23317,11156,26788,11039,3124,3215,Tag0,unknown
1583147319544,0,-268,-5.8886718750000006E-5,70,94,37,538434,24478,5046,26199,10596,12568,8970,883,Tag0,unknown
1583147324551,0,33,7.2509765625E-6,84,94,37,23761,21462,16749944,12324,16747406,8520,9792,4289,Tag0,unknown
1583147329564,0,37,8.1298828125E-6,64,87,37,11037,13817,2673,18219,3720,6566,2664,1749,Tag0,unknown
1583147334564,0,29,6.3720703125E-6,64,77,37,850726,37248,19166,16750221,15391,24755,21261,4234,Tag0,unknown
1583147339578,0,-263,-5.7788085937500005E-5,56,50,37,510230,95517,4281,19432,19953,14325,7826,2994,Tag0,unknown
1583147344592,0,-277,-6.0864257812500005E-5,54,100,37,16764019,32482,16771119,24539,9033,17421,3504,1655,Tag0,unknown
1583147349604,0,72,1.58203125E-5,63,67,37,55374,15627,2297,5201,6518,2548,3272,1867,Tag0,unknown
