timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583148395510,0,-137,-3.0102539062499998E-5,91,21,83,144951,144014,15945,16665,12240,16745308,13169,8345,Tag0,unknown
1583148401216,0,32,7.03125E-6,100,30,39,265898,17938,8689,7211,13106,6535,2248,2619,Tag0,unknown
1583148406224,0,83,1.82373046875E-5,21,23,74,1977154,802284,221616,105218,24185,30064,20663,14221,Tag0,unknown
1583148411224,0,-264,-5.80078125E-5,83,1,74,544113,161682,9970,11755,8503,18338,18658,6432,Tag0,unknown
1583148416573,0,-47,-1.0327148437500001E-5,91,38,74,317541,78436,19574,14106,30527,28114,15672,8924,Tag0,unknown
1583148422519,0,21,4.614257812500001E-6,74,1,74,1800535,66564,3840,6980,7169,6584,6606,1504,Tag0,unknown
1583148427519,0,6,1.318359375E-6,100,44,74,945551,197422,11148,16748849,16760388,16760987,30407,6730,Tag0,unknown
1583148432638,0,3,6.591796875E-7,100,64,74,16745879,16755474,16749837,21105,22355,16750575,13156,7934,Tag0,unknown
1583148438520,0,-337,-7.40478515625E-5,84,53,74,86912,16748625,8033,16757083,16750411,8530,10384,1811,Tag0,unknown
1583148443520,0,-268,-5.8886718750000006E-5,100,60,37,1090651,95708,16764379,15450,69997,16750202,19957,25701,Tag0,unknown
1583148449851,0,-112,-2.4609375E-5,77,29,37,693559,16759106,1891,6345,13851,10027,16357,1752,Tag0,unknown
