timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583218383589,0,70,1.5380859375E-5,87,54,71,26732,27723,4958,10657,3942,5153,2643,1397,Tag0,unknown
1583218388599,0,2,4.39453125E-7,91,66,40,16744448,11556,1698,3158,8058,4173,3471,1029,Tag0,unknown
1583218393599,0,71,1.56005859375E-5,91,27,40,25334,19663,3273,5549,6562,4871,5114,2931,Tag0,unknown
1583218398599,0,3,6.591796875E-7,84,77,40,15953,2603,3824,9652,4906,3319,2663,1767,Tag0,unknown
1583218403602,0,25,5.4931640625E-6,38,53,40,25444,26773,5087,14711,7406,4570,3140,1536,Tag0,unknown
1583218408614,0,2,4.39453125E-7,57,66,40,22358,17540,6879,1864,4738,5236,1421,692,Tag0,unknown
1583218413614,0,-268,-5.8886718750000006E-5,69,75,40,1568,6343,1483,11072,1865,3840,1950,1708,Tag0,unknown
1583218418614,0,-148,-3.251953125E-5,74,43,40,20148,16761258,12303,14698,8755,5049,3903,1560,Tag0,unknown
1583218423614,0,10,2.197265625E-6,66,53,50,9440,9307,4757,6159,6334,2567,1898,2639,Tag0,unknown
1583218428614,0,6,1.318359375E-6,63,80,50,28013,16758624,16769390,6432,2506,4079,2181,1454,Tag0,unknown
1583218433627,0,48,1.0546875E-5,87,78,50,16512,8667,5282,3318,1757,4156,1521,864,Tag0,unknown
