timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583220483513,0,73,1.6040039062500002E-5,61,66,34,73789,16759374,31013,16753020,13425,13541,1903,646,Tag0,unknown
1583220488526,0,9,1.9775390625E-6,40,43,73,1265924,285631,66299,16748734,11980,15957,1974,3280,Tag0,unknown
1583220493526,0,11,2.4169921875E-6,63,70,73,10350,3715,16052,9590,6522,4009,1013,2126,Tag0,unknown
1583220498526,0,38,8.349609375E-6,57,80,73,12057,11393,12172,7340,4467,4560,6247,880,Tag0,unknown
1583220503537,0,36,7.91015625E-6,30,93,73,16379,9647,13067,27034,3863,1679,2508,1122,Tag0,unknown
1583220508539,0,48,1.0546875E-5,57,81,73,10640,12185,12380,25808,2524,7706,490,941,Tag0,unknown
1583220513539,0,36,7.91015625E-6,50,56,73,14426,17028,3186,12054,4825,10068,4176,2855,Tag0,unknown
1583220518539,0,28,6.15234375E-6,60,57,73,9751,7664,7875,5874,4981,6351,6795,1025,Tag0,unknown
1583220523539,0,37,8.1298828125E-6,53,40,63,3299,3858,5937,713,1455,3619,2113,1115,Tag0,unknown
1583220528539,0,73,1.6040039062500002E-5,57,37,63,17548,5082,9065,7269,9522,2725,2270,2633,Tag0,unknown
1583220533539,0,83,1.82373046875E-5,69,48,63,10155,9886,10488,14673,8090,7687,1773,5152,Tag0,unknown
