timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583220633355,0,21,4.614257812500001E-6,51,43,93,23678,1783,9925,12355,4316,7555,6216,3135,Tag0,unknown
1583220638355,0,9,1.9775390625E-6,37,30,94,16773147,10581,1875,4012,2211,1453,436,840,Tag0,unknown
1583220643355,0,32,7.03125E-6,34,17,95,531487,24847,4789,1612,1957,1598,946,193,Tag0,unknown
1583220648355,0,-289,-6.35009765625E-5,37,30,62,153400,283241,16747241,15889,12518,11170,4630,1576,Tag0,unknown
1583220653370,0,23,5.0537109375E-6,54,30,93,533114,360023,141272,30114,16754,19764,12975,6223,Tag0,unknown
1583220658387,0,-277,-6.0864257812500005E-5,66,37,40,275249,82621,16748854,16744559,13768,17586,11231,4123,Tag0,unknown
1583220663387,0,-102,-2.2412109374999998E-5,24,43,95,93431,16755803,10841,5956,2770,5171,4334,2044,Tag0,unknown
1583220668387,0,67,1.4721679687500002E-5,51,40,106,15765,23548,9595,66275,3630,4198,2561,1366,Tag0,unknown
1583220673387,0,-279,-6.13037109375E-5,43,50,106,16748152,16748325,2645,6691,8614,7292,4838,1811,Tag0,unknown
1583220678387,0,-333,-7.316894531249999E-5,21,29,94,32237,16744343,11310,26088,2819,5330,2990,1749,Tag0,unknown
1583220683387,0,36,7.91015625E-6,37,64,94,32263,13073,1487,86218,4486,2920,4262,1796,Tag0,unknown
