timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583221136433,0,87,1.91162109375E-5,40,17,36,630891,84363,6305,23056,23625,7635,3735,3386,Tag0,unknown
1583221141433,0,56,1.23046875E-5,51,41,36,6093,7736,3073,2926,3468,3557,660,1831,Tag0,unknown
1583221146433,0,50,1.0986328125E-5,51,57,92,23354,17872,16018,3052,2005,6140,1514,2281,Tag0,unknown
1583221151433,0,417,9.16259765625E-5,43,67,92,65294,16746754,16754596,78748,16774126,16762944,15262,8549,Tag0,unknown
1583221156446,0,44,9.66796875E-6,53,63,92,7912,5976,9646,5088,9177,6063,2609,872,Tag0,unknown
1583221161479,0,18,3.955078125E-6,43,48,92,8110,12662,16016,6600,3096,7757,1783,2505,Tag0,unknown
1583221166491,0,17,3.7353515625000003E-6,23,48,104,6892,11425,15050,5763,1891,5393,2746,2520,Tag0,unknown
1583221171492,0,50,1.0986328125E-5,50,64,105,21207,3729,7062,5613,3584,2672,2241,666,Tag0,unknown
1583221176493,0,33,7.2509765625E-6,27,57,126,26832,16764837,10124,25116,12974,15686,4791,2285,Tag0,unknown
1583221181493,0,23,5.0537109375E-6,21,69,107,14976,15993,18549,1933,6384,2768,6958,3069,Tag0,unknown
1583221186493,0,36,7.91015625E-6,43,41,120,351861,293706,16765556,15912,12726,11629,3531,927,Tag0,unknown
