timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583221319433,0,23,5.0537109375E-6,30,50,88,24723,8089,4704,11997,5897,6905,1820,1387,Tag0,unknown
1583221324433,0,32,7.03125E-6,41,81,88,5572,7263,12593,30742,4045,4740,2247,1106,Tag0,unknown
1583221329433,0,33,7.2509765625E-6,50,60,95,12171,5417,5734,4697,2170,3449,1596,2059,Tag0,unknown
1583221334433,0,-273,-5.998535156250001E-5,35,37,40,228690,74153,16753818,15438,16745673,14979,9496,4926,Tag0,unknown
1583221339433,0,35,7.6904296875E-6,20,43,95,8898,9697,26299,27778,3393,4014,2251,1207,Tag0,unknown
1583221344433,0,67,1.4721679687500002E-5,38,50,95,11356,16744708,20320,13910,5464,6982,1303,773,Tag0,unknown
1583221349433,0,58,1.2744140625E-5,37,48,88,10162,6926,1687,4498,2932,2888,1589,1597,Tag0,unknown
1583221354443,0,-269,-5.9106445312499996E-5,51,67,74,7622,11342,5560,4407,2216,7711,2281,1227,Tag0,unknown
1583221359465,0,36,7.91015625E-6,47,40,57,8688,9127,10191,2307,4193,10255,2381,2058,Tag0,unknown
1583221364478,0,71,1.56005859375E-5,34,60,76,7197,22038,16749057,84733,3439,11163,1780,1908,Tag0,unknown
1583221369478,0,7,1.5380859375E-6,29,43,95,582502,93540,6850,7542,3759,2515,1264,630,Tag0,unknown
