timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583215922186,0,61,1.34033203125E-5,77,51,90,5263,10820,3527,3571,4380,2867,2224,1370,Tag0,unknown
1583215927190,0,18,3.955078125E-6,43,67,90,10685,3683,8924,4101,4053,3863,4308,1489,Tag0,unknown
1583215932190,0,48,1.0546875E-5,64,64,90,3285,7642,1325,3848,2911,3883,1618,1604,Tag0,unknown
1583215937190,0,-258,-5.6689453125000004E-5,80,60,90,3737,2515,259,8230,3998,6835,1307,1652,Tag0,unknown
1583215942203,0,37,8.1298828125E-6,30,20,90,7438,8956,1438,8834,6461,2765,8365,2892,Tag0,unknown
1583215947203,0,-257,-5.64697265625E-5,77,37,90,6353,28807,6918,15834,3224,11303,12797,4060,Tag0,unknown
1583215952218,0,44,9.66796875E-6,75,60,90,4381,4570,924,9757,2505,6936,6566,1945,Tag0,unknown
1583215957218,0,56,1.23046875E-5,60,50,90,12828,10920,5751,4828,2956,4256,5993,693,Tag0,unknown
1583215962219,0,40,8.7890625E-6,51,60,90,11251,19169,14529,9484,12832,5856,4695,4889,Tag0,unknown
1583215967225,0,38,8.349609375E-6,66,67,90,7819,14798,3441,4333,4093,7005,3249,1292,Tag0,unknown
1583215972234,0,74,1.6259765625E-5,64,41,90,23797,27156,2608,2204,5705,6198,2088,1564,Tag0,unknown
