timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583216255167,0,50,1.0986328125E-5,91,26,43,27473,21109,1586,4674,12621,14360,9631,10348,Tag0,unknown
1583216260180,0,21,4.614257812500001E-6,30,50,62,16760116,29083,9860,21546,8252,16217,5402,3434,Tag0,unknown
1583216265182,0,-274,-6.0205078124999997E-5,63,41,47,110466,125149,16754031,16054,15583,18668,5844,2904,Tag0,unknown
1583216270186,0,8,1.7578125E-6,97,40,47,11363,8028,3260,2973,7516,5942,8575,2869,Tag0,unknown
1583216275198,0,40,8.7890625E-6,100,43,47,5217,8021,8145,2373,5491,8368,9179,6782,Tag0,unknown
1583216280198,51,21,4.614257812500001E-6,74,48,47,700325,111897,232252,289500,415618,86724,93025,16772702,Tag0,unknown
1583216285198,25,26,5.712890625E-6,74,48,47,883439,16751258,1335,2678,3833,4932,1424,573,Tag0,unknown
1583216290211,0,-258,-5.6689453125000004E-5,51,60,53,1091004,46481,16744949,16751436,18557,20693,14471,11192,Tag0,unknown
1583216295211,0,-106,-2.3291015625000003E-5,77,48,37,1011850,103432,16748549,31570,17981,30686,9591,10843,Tag0,unknown
1583216300223,0,-263,-5.7788085937500005E-5,16,43,36,48846,182812,31994,12076,13009,17269,25997,8574,Tag0,unknown
1583216305223,0,18,3.955078125E-6,74,13,36,681409,16758046,21758,3415,7444,12416,9865,13840,Tag0,unknown
