timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583216603028,0,42,9.228515625000002E-6,13,40,40,970923,615454,69956,6401,134563,11376,10203,3313,Tag0,unknown
1583216608039,0,72,1.58203125E-5,63,70,42,1080850,105382,200519,178556,109170,176741,9591,15094,Tag0,unknown
1583216613054,0,77,1.69189453125E-5,61,37,44,180768,21694,1371,1772,5634,4386,1357,151,Tag0,unknown
1583216618054,0,33,7.2509765625E-6,100,51,62,18977,14549,2361,2598,6479,5244,11653,2503,Tag0,unknown
1583216623054,0,80,1.7578125E-5,100,66,62,8129,8135,3886,9164,6754,3950,5290,2218,Tag0,unknown
1583216628070,0,-874,-1.9204101562500002E-4,24,21,39,1681437,61554,3233,24311,12690,7916,2632,873,Tag0,unknown
1583216633070,0,41,9.008789062499999E-6,63,53,108,10032,11191,4311,7373,7717,10048,1931,2399,Tag0,unknown
1583216638084,26,44,9.66796875E-6,80,94,37,258991,23409,6771,6601,2887,1948,1318,16777189,Tag0,unknown
1583216643084,0,3,6.591796875E-7,81,74,37,617998,241617,182960,266513,124696,60393,17591,5951,Tag0,unknown
1583216648084,0,17,3.7353515625000003E-6,90,53,40,6519,27228,4516,23987,9954,18602,6736,4410,Tag0,unknown
1583216653097,0,23,5.0537109375E-6,100,66,40,6207,10108,2239,1229,5215,3456,6448,3834,Tag0,unknown
