timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583216917332,0,22,4.833984375E-6,96,90,38,1489,2702,12131,3745,7607,8640,2977,2198,Tag0,unknown
1583216922332,0,10,2.197265625E-6,74,88,38,24467,7565,2237,7407,15620,11655,5806,1216,Tag0,unknown
1583216927332,0,87,1.91162109375E-5,83,100,38,9691,15764,23931,28583,7663,10809,6260,2720,Tag0,unknown
1583216932332,0,44,9.66796875E-6,83,100,38,16761040,26127,4075,30987,13431,16647,10252,8623,Tag0,unknown
1583216937347,0,4,8.7890625E-7,77,48,38,8982,3172,3028,2929,7491,7286,5283,2294,Tag0,unknown
1583216942347,0,-330,-7.2509765625E-5,87,80,38,10793,32602,8460,8803,13375,9827,4089,3700,Tag0,unknown
1583216947360,0,22,4.833984375E-6,83,100,38,14856,9030,4834,4819,6234,4300,2678,679,Tag0,unknown
1583216952360,0,-258,-5.6689453125000004E-5,88,100,38,18380,3280,9133,6188,5391,5372,12297,2608,Tag0,unknown
1583216957360,0,73,1.6040039062500002E-5,70,91,38,11689,11795,8942,5375,5659,16409,14079,1154,Tag0,unknown
1583216962374,0,73,1.6040039062500002E-5,100,83,38,17807,18505,11565,7159,11523,12533,6380,4910,Tag0,unknown
1583216967374,0,-226,-4.9658203125E-5,100,80,38,10496,1952,4469,8414,6445,8795,5870,1551,Tag0,unknown
