timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583217084141,0,54,1.1865234375000001E-5,80,41,116,46423,76912,16754181,3825,16752238,21364,8885,4847,Tag0,unknown
1583217089141,0,9,1.9775390625E-6,80,53,116,10788,8711,4403,2764,1608,3757,5232,3427,Tag0,unknown
1583217094156,0,64,1.40625E-5,80,44,116,372458,16761999,15145,6972,3994,7859,7771,2115,Tag0,unknown
1583217099169,0,2,4.39453125E-7,70,35,41,16756820,16771227,5256,6199,1626,4657,4308,570,Tag0,unknown
1583217104170,0,10,2.197265625E-6,100,51,41,22319,16989,1727,3267,1190,11677,6842,2291,Tag0,unknown
1583217109172,0,37,8.1298828125E-6,93,27,56,80813,16771563,616,6143,7323,13662,5786,3771,Tag0,unknown
1583217114172,0,53,1.1645507812500002E-5,53,40,35,765073,64358,1996,22303,11022,18753,5661,1698,Tag0,unknown
1583217119183,0,-269,-5.9106445312499996E-5,100,47,35,13314,5817,1686,1962,12468,7578,4535,3142,Tag0,unknown
1583217124183,0,12,2.63671875E-6,60,27,35,25542,22729,6306,3776,2749,4917,4586,5593,Tag0,unknown
1583217129183,0,42,9.228515625000002E-6,70,60,35,16753924,32276,7015,7683,7736,7015,9964,3912,Tag0,unknown
1583217134200,0,34,7.4707031250000005E-6,78,56,35,5899,22580,6534,2278,14123,7004,2352,3623,Tag0,unknown
