timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583217611993,0,4,8.7890625E-7,43,48,59,364652,27775,10355,3099,2467,6876,3686,4935,Tag0,unknown
1583217617009,0,22,4.833984375E-6,69,47,62,154374,87910,29823,2940,19835,11172,3699,4325,Tag0,unknown
1583217622009,0,-63,-1.38427734375E-5,57,54,105,1873139,143560,26552,81571,27706,16758448,30755,8022,Tag0,unknown
1583217627009,51,-378,-8.3056640625E-5,50,54,78,300321,16077,31781,23916,13087,25547,13192,9918,Tag0,unknown
1583217632009,26,20,4.39453125E-6,50,54,78,733950,27537,5816,3238,2256,1165,392,303,Tag0,unknown
1583217637022,0,4,8.7890625E-7,75,29,78,16758637,14145,900,4684,3972,5575,8262,1267,Tag0,unknown
1583217642022,0,197,4.32861328125E-5,69,40,78,181408,16765811,13788,14111,4747,3938,624,140,Tag0,unknown
1583217647022,51,-126,-2.7685546875E-5,61,43,87,1818732,3459,7814,2607,5869,6040,834,569,Tag0,unknown
1583217652022,26,1,2.197265625E-7,38,26,87,312687,10467,2267,2534,985,770,361,16777202,Tag0,unknown
1583217657022,0,-122,-2.6806640625E-5,34,40,87,628632,26030,3580,294,4795,842,257,338,Tag0,unknown
1583217662022,0,-269,-5.9106445312499996E-5,29,34,77,16774418,3327,478,329,860,1377,942,263,Tag0,unknown
