timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583217818369,0,262,5.7568359375E-5,57,35,36,1782223,312633,16776829,93763,89450,85775,16758470,8124,Tag0,unknown
1583217823369,0,-1009,-2.217041015625E-4,66,53,90,169437,220800,16744706,25064,16762466,18252,10753,4485,Tag0,unknown
1583217828384,0,35,7.6904296875E-6,57,35,90,16771002,13591,2081,1101,3403,1121,2072,450,Tag0,unknown
1583217833384,0,36,7.91015625E-6,84,34,90,16764633,18655,7969,2558,7674,17114,6636,2965,Tag0,unknown
1583217838384,0,22,4.833984375E-6,100,51,52,14443,6027,8215,3814,3990,7802,4638,2974,Tag0,unknown
1583217843384,0,16,3.515625E-6,97,69,52,67476,13113,10539,1865,2754,16375,6675,3673,Tag0,unknown
1583217848397,0,84,1.8457031250000004E-5,100,66,52,9115,10960,10289,12243,5841,17765,9584,3609,Tag0,unknown
1583217853397,0,17,3.7353515625000003E-6,100,56,52,88482,10144,14309,14987,14411,18075,3881,5350,Tag0,unknown
1583217858397,0,-330,-7.2509765625E-5,66,53,45,635854,16758686,16749633,10093,28716,11600,9225,4564,Tag0,unknown
1583217863397,0,6,1.318359375E-6,74,61,40,251822,23155,20627,12696,19786,19298,5885,3013,Tag0,unknown
1583217868397,0,28,6.15234375E-6,69,43,40,69996,16765601,19521,11493,11383,10737,12692,2118,Tag0,unknown
